Indicator,Request URL
Positive Volume Index,https://api.taapi.io/pvi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Qstick,https://api.taapi.io/qstick?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Rickshaw Man,https://api.taapi.io/rickshawman?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Rising/Falling Three Methods,https://api.taapi.io/risefall3methods?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Rate of change,https://api.taapi.io/roc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Rate of change Percentage,https://api.taapi.io/rocp?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Rate of change ratio,https://api.taapi.io/rocr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Rate of change ratio 100 scale,https://api.taapi.io/rocr100?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Round,https://api.taapi.io/round?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Relative Strength Index (RSI),https://api.taapi.io/rsi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Parabolic SAR,https://api.taapi.io/sar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Separating Lines,https://api.taapi.io/separatinglines?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Shooting Star,https://api.taapi.io/shootingstar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Short Line Candle,https://api.taapi.io/shortline?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Trigonometric Sin,https://api.taapi.io/sin?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Simple Moving Average,https://api.taapi.io/sma?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Spinning Top,https://api.taapi.io/spinningtop?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Square Root,https://api.taapi.io/sqrt?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Stalled Pattern,https://api.taapi.io/stalledpattern?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Standard Deviation,https://api.taapi.io/stddev?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Stick Sandwich,https://api.taapi.io/sticksandwich?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Stochastic,https://api.taapi.io/stoch?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Stochastic Fast,https://api.taapi.io/stochf?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Stochastic Relative Strength Index,https://api.taapi.io/stochrsi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Arithmetic Substraction,https://api.taapi.io/sub?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
